algo,N,p,repeat,time_sec
var2zh_omp,2000,8,4,0.007021
var2zh_omp,2000,8,5,0.006814
var2zh_omp,2000,8,6,0.006917
var2zh_omp,2000,8,7,0.006729
var2zh_omp,2000,8,8,0.007242
var2zh_omp,2000,8,9,0.006712
var2zh_omp,2000,8,10,0.006689
var2zh_omp,2000,12,1,0.011044
var2zh_omp,2000,12,2,0.011341
var2zh_omp,2000,12,3,0.011787
var2zh_omp,2000,12,4,0.011353
var2zh_omp,2000,12,5,0.017414
var2zh_omp,2000,12,6,0.011348
var2zh_omp,2000,12,7,0.011509
var2zh_omp,2000,12,8,0.011621
var2zh_omp,2000,12,9,0.011402
var2zh_omp,2000,12,10,0.012226
var3z_seq,2000,1,1,0.047025
var3z_seq,2000,1,2,0.044767
var3z_seq,2000,1,3,0.044671
var3z_seq,2000,1,4,0.045464
var3z_seq,2000,1,5,0.046600
var3z_seq,2000,1,6,0.045978
var3z_seq,2000,1,7,0.044879
var3z_seq,2000,1,8,0.046050
var3z_seq,2000,1,9,0.045914
var3z_seq,2000,1,10,0.047368
var3z_omp,2000,1,1,0.048033
var3z_omp,2000,1,2,0.049594
var3z_omp,2000,1,3,0.046837
var3z_omp,2000,1,4,0.048031
var3z_omp,2000,1,5,0.047504
var3z_omp,2000,1,6,0.046803
var3z_omp,2000,1,7,0.046332
var3z_omp,2000,1,8,0.047144
var3z_omp,2000,1,9,0.046454
var3z_omp,2000,1,10,0.049703
var3z_omp,2000,2,1,0.025654
var3z_omp,2000,2,2,0.024944
var3z_omp,2000,2,3,0.025986
var3z_omp,2000,2,4,0.025397
var3z_omp,2000,2,5,0.024959
var3z_omp,2000,2,6,0.025901
var3z_omp,2000,2,7,0.025469
