algo,N,repeat,time_sec
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,2,6.47234
simd_hybrid(strassen+blocked;leaf=128;T=64;W=256),4096,3,6.49434
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),32,1,0.000736703
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),32,2,3.7861e-05
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),32,3,2.2573e-05
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),64,1,3.4274e-05
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),64,2,8.7994e-05
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),64,3,3.4124e-05
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),128,1,0.000142736
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),128,2,0.00015555
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),128,3,0.000198129
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),256,1,0.00312552
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),256,2,0.00133878
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),256,3,0.00348978
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),512,1,0.0180668
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),512,2,0.0153712
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),512,3,0.0152037
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),1024,1,0.093398
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),1024,2,0.0818463
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),1024,3,0.060445
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,1,0.501956
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,2,0.452926
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),2048,3,0.363013
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),4096,1,3.12192
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),4096,2,2.99481
omp+simd_hybrid(strassen+blocked;leaf=128;T=64;cut=256;p=8;W=256),4096,3,3.07054
