algo,N,p,repeat,time_sec
bvp_seq,400,1,50,0.002939278
bvp_red_omp,400,4,50,0.002482669
bvp_seq,1000,1,50,0.004718023
bvp_red_omp,1000,4,50,0.004214031
bvp_seq,4000,1,50,0.015546715
bvp_red_omp,4000,4,50,0.013809736
bvp_seq,8000,1,50,0.030849415
bvp_red_omp,8000,4,50,0.025401226
bvp_seq,16000,1,50,0.065073477
bvp_red_omp,16000,4,50,0.050087779
bvp_seq,32000,1,50,0.125098170
bvp_red_omp,32000,4,50,0.104392453
bvp_seq,64000,1,50,0.257650317
bvp_red_omp,64000,4,50,0.217856485
